col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Governor - Democrat,,,,15
,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Karen Voss,Edward M Lloyd Jr,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,15
Latrice Y Bryant,0,12,13,9,11,9,8,8,6,6,0,14,8,5,0,15
Gwen Collins,,0,13,7,10,8,6,7,5,5,0,8,5,3,0,15
Barbara Carroll,,,0,8,11,8,6,7,5,6,0,8,5,2,0,15
David Rodriguez,,,,0,7,8,7,8,6,4,0,11,2,1,0,15
Elaine Tomlin,,,,,0,6,5,6,5,3,0,7,3,2,0,15
Karen Voss,,,,,,0,7,9,7,6,0,6,3,2,0,15
Edward M Lloyd Jr,,,,,,,0,6,5,4,0,8,1,1,0,15
Humberto Perez,,,,,,,,0,6,5,0,6,2,1,0,15
Louis Agre,,,,,,,,,0,3,0,4,2,1,0,15
Ruth I Birchett,,,,,,,,,,0,0,4,2,0,0,15
Dawn Thomas,,,,,,,,,,,0,0,0,0,0,15
Tom Wolf,,,,,,,,,,,,7,0,0,0,15
Robert M Mccord,,,,,,,,,,,,,4,0,0,15
Allyson Y Schwartz,,,,,,,,,,,,,,3,0,15
Katie Mcginty,,,,,,,,,,,,,,,0,15
Total,27,16,15,14,12,11,10,9,7,6,0,27,15,10,0,15
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,16
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Ruth I Birchett,Louis Agre,Dawn Thomas,16
Tom Wolf,20,0,0,0,33,13,9,13,7,13,4,4,2,5,0,16
Robert M Mccord,,23,0,0,6,6,5,1,4,1,0,0,0,0,0,16
Allyson Y Schwartz,,,10,0,12,12,10,9,11,7,10,8,8,4,0,16
Katie Mcginty,,,,2,0,0,0,0,0,0,0,0,0,0,0,16
Latrice Y Bryant,,,,,0,25,18,16,18,18,9,10,7,8,0,16
Gwen Collins,,,,,,0,20,10,18,11,9,9,6,7,0,16
Barbara Carroll,,,,,,,0,8,14,8,8,8,7,4,0,16
David Rodriguez,,,,,,,,0,7,14,9,9,6,7,0,16
Elaine Tomlin,,,,,,,,,0,8,9,7,7,6,0,16
Edward M Lloyd Jr,,,,,,,,,,0,7,9,6,7,0,16
Karen Voss,,,,,,,,,,,0,8,8,6,0,16
Humberto Perez,,,,,,,,,,,,0,7,7,0,16
Ruth I Birchett,,,,,,,,,,,,,0,4,0,16
Louis Agre,,,,,,,,,,,,,,0,0,16
Dawn Thomas,,,,,,,,,,,,,,,0,16
Total,62,31,30,2,51,31,24,23,22,21,14,12,10,9,0,16
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,17
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Elaine Tomlin,David Rodriguez,Edward M Lloyd Jr,Barbara Carroll,Karen Voss,Louis Agre,Humberto Perez,Ruth I Birchett,Dawn Thomas,17
Tom Wolf,16,0,0,0,12,6,5,8,8,2,3,3,1,2,1,17
Robert M Mccord,,3,0,0,9,6,6,3,2,4,2,1,1,0,0,17
Allyson Y Schwartz,,,3,0,6,7,4,4,5,4,5,4,4,3,0,17
Katie Mcginty,,,,0,1,1,1,1,1,1,1,1,1,0,0,17
