col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
Edwin Santana,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Vinny Black,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
Asa Khalif,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,4
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
Bobbie Curry,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4
Erika Almirón,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,4
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,4
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,4
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,30,18,5,23,16,16,15,11,8,8,8,7,6,6,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,4
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Jim Kenney,Anthony Hardy Williams,Alan Butkovitz,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Eryn Santamoor,Adrián Rivera-reyes,Deja Lynn Alvarez,Erika Almirón,Willie Floyd Singletary,Ogbonna Paul Hagins,Beth Finn,Fernando Treviño,Justin Diberardinis,Billy Thompson,Asa Khalif,Wayne Allen,Edwin Santana,Latrice Y Bryant,Sandra Dungee Glenn,Vinny Black,Bobbie Curry,Ethelind Baylor,Hena Veit,Joseph A Diorio,Mark Ross,Wayne Edmund Dorsey,Devon Cade,Fareed Abdullah,Sherrie Cohen,5
Jim Kenney,4,0,0,60,42,36,32,32,18,14,13,12,9,8,5,7,2,4,5,5,4,3,5,3,0,2,3,1,0,1,0,0,0,5
Anthony Hardy Williams,,3,0,16,13,16,10,8,6,5,2,4,3,3,3,2,4,1,1,0,1,0,0,0,2,2,2,2,2,0,1,2,0,5
Alan Butkovitz,,,5,9,17,3,5,3,6,1,3,0,2,2,4,2,4,3,1,1,0,3,0,1,3,0,0,2,2,1,0,0,0,5
Helen Gym,,,,0,44,38,32,33,20,11,10,14,6,11,6,7,9,5,6,2,0,1,2,1,3,2,3,2,2,1,0,0,0,5
Allan Domb,,,,,1,37,33,26,21,3,1,1,1,4,6,3,8,5,5,2,1,1,3,4,3,0,2,3,3,2,1,0,0,5
Isaiah Thomas,,,,,,0,35,28,12,1,4,8,3,2,2,1,4,1,5,1,1,1,2,1,0,3,2,1,0,1,1,1,0,5
Derek S Green,,,,,,,2,27,9,1,2,7,3,0,2,1,2,2,2,0,2,2,1,2,0,2,0,0,1,0,1,1,0,5
