col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Ogbonna Paul Hagins,Fareed Abdullah,Latrice Y Bryant,Sandra Dungee Glenn,Asa Khalif,Eryn Santamoor,Billy Thompson,Erika Almirón,Mark Ross,Beth Finn,Justin Diberardinis,Ethelind Baylor,Wayne Allen,Bobbie Curry,Hena Veit,Joseph A Diorio,Fernando Treviño,Vinny Black,Wayne Edmund Dorsey,Edwin Santana,Devon Cade,Sherrie Cohen,David H Conroy,Theresa Brunson,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,3
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,3
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,3
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,3
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Theresa Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3
David H Conroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
Total,42,35,21,20,19,18,16,16,12,8,6,5,4,4,4,4,3,3,3,2,2,2,1,1,1,1,1,0,0,0,33,29,3
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,4
,Helen Gym,Allan Domb,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Deja Lynn Alvarez,Adrián Rivera-reyes,Willie Floyd Singletary,Eryn Santamoor,Fareed Abdullah,Billy Thompson,Ogbonna Paul Hagins,Sandra Dungee Glenn,Hena Veit,Mark Ross,Beth Finn,Joseph A Diorio,Latrice Y Bryant,Asa Khalif,Bobbie Curry,Devon Cade,Erika Almirón,Ethelind Baylor,Fernando Treviño,Vinny Black,Wayne Allen,Wayne Edmund Dorsey,Edwin Santana,Justin Diberardinis,Sherrie Cohen,Theresa Brunson,David H Conroy,4
Helen Gym,3,22,18,17,16,3,5,4,2,2,0,2,1,2,0,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,6,21,4
