col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,Kenneth J Powell Jr,Dawn M Tancredi,Vince Giusini,Tracy B Roman,James C Crumlish,Stephanie M Sawyer,Giovanni Campbell,Rania Major,Leon A King Ii,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Conor Corcoran,Jon Marshall,Katie Scrivner,Fran Shields,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Stephanie M Sawyer,,,,,,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
Dawn M Tancredi,,,,,,,0,3,3,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,3
Timika Lane,,,,,,,,0,2,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,3
James C Crumlish,,,,,,,,,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3
Kenneth J Powell Jr,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3
Anne Marie Coyle,,,,,,,,,,,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,3
Derrick W Coker,,,,,,,,,,,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,3
Frank Bennett,,,,,,,,,,,,,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,3
Deborah D Cianfrani,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3
Conor Corcoran,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Daine A Grey Jr,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3
John J O Connor Jr,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3
Jon Marshall,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,3
Leon A King Ii,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3
Sierra Thomas Street,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,3
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,3
Fran Shields,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Brett Mandel,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Alan Butkovitz,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Mark Zecca,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,14,12,12,11,10,8,6,6,5,4,3,3,3,2,1,1,1,1,1,1,1,0,0,0,7,4,3,3
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,4
,Timika Lane,Daniel D Mccaffery,Kenneth J Powell Jr,Dawn M Tancredi,James C Crumlish,Joe Fernandes,Tracy B Roman,Anne Marie Coyle,Sierra Thomas Street,Vince Giusini,Giovanni Campbell,Rania Major,Sean P Stevens,Daine A Grey Jr,Deborah D Cianfrani,Frank Bennett,John J O Connor Jr,Stephanie M Sawyer,Conor Corcoran,Derrick W Coker,Fran Shields,Jon Marshall,Katie Scrivner,Leon A King Ii,Alan Butkovitz,Brett Mandel,Mark Zecca,4
Timika Lane,0,4,4,3,3,3,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1,4
Daniel D Mccaffery,,0,3,4,3,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,4
Kenneth J Powell Jr,,,0,3,3,3,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,4
Dawn M Tancredi,,,,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
James C Crumlish,,,,,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,4
Joe Fernandes,,,,,,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,4
Tracy B Roman,,,,,,,0,3,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,4
Anne Marie Coyle,,,,,,,,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4
Sierra Thomas Street,,,,,,,,,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,4
Vince Giusini,,,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4
Giovanni Campbell,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4
