col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,David Oh,Bill Heeney,Dan Tinney,Al Taubenberger,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
Isaiah Thomas,,,,,1,39,38,38,2,3,1,3,1,3,0,2,1,1,1,0,0,8
Derek S Green,,,,,,0,39,36,0,2,0,1,0,3,3,1,0,0,1,0,0,8
Helen Gym,,,,,,,0,36,2,1,1,2,0,4,4,0,1,0,0,0,0,8
Katherine Gilmore Richardson,,,,,,,,0,1,3,4,2,1,0,1,0,0,0,0,0,0,8
Al Taubenberger,,,,,,,,,1,27,25,26,25,2,0,0,1,0,0,1,1,8
Dan Tinney,,,,,,,,,,0,27,22,25,2,1,0,0,0,0,0,1,8
Bill Heeney,,,,,,,,,,,0,25,25,2,2,0,0,0,0,1,0,8
David Oh,,,,,,,,,,,,0,25,1,1,1,0,1,0,1,0,8
Matt Wolfe,,,,,,,,,,,,,0,1,1,1,0,1,0,0,0,8
Kendra Brooks,,,,,,,,,,,,,,0,5,0,1,0,0,0,0,8
Nicolas O'Rourke,,,,,,,,,,,,,,,0,0,0,0,0,0,0,8
Maj Toure,,,,,,,,,,,,,,,,0,0,1,1,0,0,8
Clarc King,,,,,,,,,,,,,,,,,0,0,0,0,0,8
Joe Cox,,,,,,,,,,,,,,,,,,0,0,0,0,8
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,0,0,8
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,8
Write-In,,,,,,,,,,,,,,,,,,,,,0,8
Total,55,39,0,48,46,43,43,43,34,33,32,31,29,8,6,2,1,1,1,1,1,8
,Council At Large,,,,,,,,,,,,,,,,,,Mayor,,,9
,Allan Domb,Helen Gym,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Bill Heeney,David Oh,Dan Tinney,Matt Wolfe,Al Taubenberger,Nicolas O'Rourke,Kendra Brooks,Joe Cox,Sherrie Cohen,Clarc King,Maj Toure,Steve Cherniavsky,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,9
Allan Domb,0,54,54,51,54,5,11,2,2,2,1,3,1,0,1,0,1,0,54,8,0,9
Helen Gym,,0,53,49,50,2,10,3,0,3,2,1,0,0,1,0,1,0,54,6,0,9
Isaiah Thomas,,,0,52,52,2,6,1,1,0,3,4,1,1,0,1,0,0,53,4,0,9
Derek S Green,,,,0,50,1,1,2,1,1,1,3,0,0,0,1,0,0,52,3,0,9
Katherine Gilmore Richardson,,,,,0,1,4,2,2,1,1,3,0,0,0,0,0,0,51,4,0,9
Bill Heeney,,,,,,0,19,23,18,19,2,1,3,1,0,0,0,0,1,27,0,9
David Oh,,,,,,,0,17,16,16,3,2,1,0,1,0,1,0,6,21,0,9
Dan Tinney,,,,,,,,0,16,19,2,0,2,1,0,1,0,0,3,22,0,9
Matt Wolfe,,,,,,,,,0,14,3,1,3,1,0,0,0,0,0,23,0,9
Al Taubenberger,,,,,,,,,,0,0,0,1,1,1,0,0,0,3,19,0,9
Nicolas O'Rourke,,,,,,,,,,,0,4,2,1,0,0,1,0,4,4,0,9
Kendra Brooks,,,,,,,,,,,,0,0,0,0,0,0,0,4,1,0,9
Joe Cox,,,,,,,,,,,,,0,2,0,0,0,0,0,4,0,9
Sherrie Cohen,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,9
Clarc King,,,,,,,,,,,,,,,0,0,0,0,1,0,0,9
Maj Toure,,,,,,,,,,,,,,,,0,0,0,1,0,0,9
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,0,1,0,9
Write-In,,,,,,,,,,,,,,,,,,0,0,0,0,9
Jim Kenney,,,,,,,,,,,,,,,,,,,0,0,0,9
Billy Ciancaglini,,,,,,,,,,,,,,,,,,,,0,0,9
Write-In,,,,,,,,,,,,,,,,,,,,,0,9
Total,65,60,60,56,56,30,29,25,23,22,8,7,4,2,1,1,1,0,64,39,0,9
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,10
,Jim Kenney,Billy Ciancaglini,Write-In,Helen Gym,Allan Domb,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Al Taubenberger,Bill Heeney,Dan Tinney,David Oh,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Clarc King,Sherrie Cohen,Maj Toure,Steve Cherniavsky,Write-In,10
Jim Kenney,0,0,0,57,53,54,54,53,4,1,3,4,1,8,4,3,3,0,0,1,0,10
Billy Ciancaglini,,0,0,1,4,1,1,1,28,31,29,25,28,2,1,1,0,2,1,0,1,10
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Helen Gym,,,,0,52,52,50,50,4,1,1,4,0,3,1,1,0,0,0,0,0,10
Allan Domb,,,,,0,50,49,49,3,2,4,7,4,2,1,0,0,0,0,0,0,10
Isaiah Thomas,,,,,,0,50,53,1,0,0,2,0,6,2,2,2,0,0,0,0,10
Katherine Gilmore Richardson,,,,,,,0,51,2,1,2,1,1,2,1,0,1,0,0,0,0,10
Derek S Green,,,,,,,,0,1,0,1,1,1,4,1,2,2,0,0,0,0,10
Al Taubenberger,,,,,,,,,0,26,26,22,25,1,0,1,0,1,1,0,0,10
Bill Heeney,,,,,,,,,,1,27,21,26,0,0,0,0,0,0,0,1,10
Dan Tinney,,,,,,,,,,,0,22,27,0,0,0,0,0,0,0,0,10
David Oh,,,,,,,,,,,,1,22,2,1,0,0,1,0,0,0,10
Matt Wolfe,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,10
Kendra Brooks,,,,,,,,,,,,,,0,4,4,3,1,1,1,0,10
Nicolas O'Rourke,,,,,,,,,,,,,,,0,1,1,1,0,1,0,10
Joe Cox,,,,,,,,,,,,,,,,0,2,1,1,1,0,10
Clarc King,,,,,,,,,,,,,,,,,0,0,0,1,0,10
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,1,0,0,10
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,10
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,10
Write-In,,,,,,,,,,,,,,,,,,,,,0,10
Total,67,39,0,58,57,55,55,54,33,33,33,30,29,10,5,4,3,2,1,1,1,10
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,11
