col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Andrew P Toy,Eleanor M Dezzi,Joseph C Meade,Nancy Astor Fox,Michelle W Singer,Heather Steinmiller,Raye E Johnson,William S Leopold,All
Vincent J Hughes,,,,,,0,37,37,36,35,34,33,33,34,34,32,33,28,18,23
Heather Steinmiller,,,,,,,0,35,34,36,34,33,34,34,33,32,33,23,15,23
Andrew P Toy,,,,,,,,0,32,34,32,31,32,33,31,30,32,23,14,23
Stephen A Cozen,,,,,,,,,0,33,32,32,31,33,33,32,32,21,16,23
Eleanor M Dezzi,,,,,,,,,,0,33,33,34,33,32,31,33,22,14,23
Jerry T Jordan,,,,,,,,,,,0,30,31,31,31,30,31,20,14,23
Michelle W Singer,,,,,,,,,,,,0,32,31,30,28,30,20,14,23
Nancy Astor Fox,,,,,,,,,,,,,0,31,30,29,31,21,13,23
Raye E Johnson,,,,,,,,,,,,,,0,31,30,32,20,14,23
William S Leopold,,,,,,,,,,,,,,,0,30,31,19,15,23
Jerome W Mondesire,,,,,,,,,,,,,,,,0,31,19,14,23
Joseph C Meade,,,,,,,,,,,,,,,,,0,19,14,23
Fatimah Loren Muhammad,,,,,,,,,,,,,,,,,,17,0,23
James R Roebuck,,,,,,,,,,,,,,,,,,,9,23
Total,74,71,63,58,53,46,38,37,37,36,34,34,34,34,34,33,33,68,41,23
