col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,7
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,7
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7
Total,69,55,49,29,6,4,52,43,38,33,31,30,26,26,24,22,22,21,19,18,16,15,15,15,15,12,11,11,10,10,10,9,8,8,8,7,6,6,5,5,5,5,4,4,3,3,3,3,3,7
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Tracy B Roman,Lyris Younge,Scott Diclaudio,Ken Powell,Daine Grey Jr,Mia Roberts Perez,Stephanie M Sawyer,Kai Scott,Leon Goodman,Abbe Fletman,Frances Fattah,Jennifer Schultz,Chris Mallios,Jon Marshall,Michael Fanning,Edward William Louden Jr,Sandjai Weaver,Thomas Martin,Vincent N Melchiorre,Deborah Watson Stokes,Leon A King Ii,Shanese Johnson,Stella Tsai,Betsy Wahl,Rainy Papademetriou,Anthony Kyriakakis,Chris Mccabe,Lucretia Clemons,Lynne M Summers,Rania Major,Sherman Toppin,Wayne M D Bennett,Brian T Ortelere,Joshua Hill,Vincent Furlong,Jodi Lobel,Marissa Brumbach,Starr Marshall Cash,James F Berardinelli,Franklin A Bennett Iii,Vince Giusini,William J Ciancaglini,Tangie M Boston,8
Kevin M Dougherty,3,23,31,14,4,3,26,15,22,17,17,17,15,15,13,14,12,13,11,9,11,7,11,10,8,9,7,10,9,9,8,7,6,8,8,6,8,6,4,8,5,7,5,3,4,3,2,2,1,8
David Wecht,,0,14,4,2,1,15,15,20,15,11,10,8,10,8,10,8,6,6,6,6,5,8,4,4,4,3,6,5,2,3,2,7,2,2,3,3,5,2,3,5,4,1,2,1,3,2,2,1,8
Anne E Lazarus,,,1,10,2,0,14,10,14,9,12,8,9,7,10,8,10,11,6,8,5,4,7,7,3,8,5,6,6,8,4,3,6,4,6,4,3,6,4,7,4,3,3,3,4,2,2,2,0,8
Christine Donohue,,,,1,1,2,19,10,12,11,8,9,9,6,8,5,6,9,5,6,4,7,2,4,4,6,6,4,5,6,4,1,1,3,4,4,1,2,6,3,3,0,4,3,3,0,0,0,0,8
John Henry Foradora,,,,,0,2,1,2,1,3,3,2,2,3,2,2,0,1,3,2,1,1,1,0,1,0,2,2,1,1,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8
Dwayne D Woodruff,,,,,,0,2,1,1,1,1,3,1,2,2,0,1,1,1,0,0,2,2,1,0,0,2,3,2,1,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,8
Tracy B Roman,,,,,,,1,21,23,20,17,16,16,13,12,14,6,7,10,8,8,9,4,6,9,9,5,7,5,6,5,1,0,3,5,2,4,2,4,2,5,0,4,3,4,1,1,0,1,8
Lyris Younge,,,,,,,,1,21,20,15,12,13,11,9,10,6,5,12,9,10,8,1,3,10,3,3,3,2,2,4,0,1,2,1,1,2,0,4,0,3,0,1,1,3,1,0,0,0,8
Scott Diclaudio,,,,,,,,,0,20,14,15,12,10,8,10,5,8,12,8,9,9,2,4,9,2,5,2,5,3,5,1,3,1,2,2,1,5,5,3,3,1,0,1,4,1,1,3,0,8
Ken Powell,,,,,,,,,,0,17,13,10,11,11,12,3,6,11,10,10,7,0,5,9,1,6,2,0,1,4,1,2,1,2,2,3,2,5,2,5,1,0,0,3,1,1,1,0,8
Daine Grey Jr,,,,,,,,,,,0,12,13,12,8,12,5,4,11,7,11,4,3,8,9,5,5,5,2,4,5,2,3,1,3,1,5,4,4,3,3,0,1,2,3,1,1,1,0,8
Mia Roberts Perez,,,,,,,,,,,,0,14,15,4,12,3,5,13,3,10,3,3,2,9,3,5,3,5,3,3,1,2,3,3,3,4,1,2,3,3,1,2,3,1,1,1,0,1,8
Stephanie M Sawyer,,,,,,,,,,,,,0,15,3,14,5,5,13,1,10,1,4,1,10,8,5,4,5,4,0,1,1,2,4,3,2,2,1,2,2,0,2,3,1,1,0,0,0,8
Kai Scott,,,,,,,,,,,,,,0,4,12,3,2,13,2,10,1,4,1,9,4,5,6,3,3,0,0,2,4,4,3,5,0,0,3,2,1,1,2,0,1,0,0,1,8
Leon Goodman,,,,,,,,,,,,,,,1,3,2,5,2,10,1,8,3,4,1,4,5,6,2,3,5,1,1,3,3,2,3,3,4,1,6,0,0,2,3,1,2,0,1,8
Abbe Fletman,,,,,,,,,,,,,,,,0,3,4,9,2,8,1,1,1,8,5,1,4,3,3,1,0,1,2,3,2,3,0,1,1,3,1,2,1,0,1,0,0,0,8
Frances Fattah,,,,,,,,,,,,,,,,,0,7,1,2,3,1,4,4,1,6,4,4,6,3,1,1,4,2,4,4,2,4,3,5,3,1,2,2,1,2,0,2,0,8
Jennifer Schultz,,,,,,,,,,,,,,,,,,0,3,3,1,3,0,3,0,5,4,3,6,5,3,2,1,3,3,4,1,4,4,3,1,1,3,2,3,1,1,2,0,8
Chris Mallios,,,,,,,,,,,,,,,,,,,0,2,10,0,1,0,10,1,4,1,2,2,1,0,1,2,3,3,2,2,1,2,0,0,0,2,0,0,1,0,0,8
Jon Marshall,,,,,,,,,,,,,,,,,,,,0,3,7,1,6,0,1,2,1,1,1,7,2,1,3,0,1,2,2,4,2,2,2,2,2,3,0,1,0,0,8
Michael Fanning,,,,,,,,,,,,,,,,,,,,,0,0,1,4,10,1,3,0,1,0,2,3,3,3,3,3,2,1,1,3,1,2,2,1,0,0,0,1,0,8
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,0,2,3,0,1,2,3,2,1,4,0,0,1,0,0,2,0,3,0,4,0,0,0,3,1,0,0,1,8
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,2,4,3,3,1,1,4,2,2,2,3,1,0,3,1,3,0,1,0,1,0,0,1,8
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,1,3,2,2,5,4,1,2,1,0,2,4,1,3,2,2,3,1,2,1,2,1,0,8
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,1,0,0,0,1,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,8
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,5,5,1,0,1,2,4,2,2,2,1,1,3,0,3,3,1,2,1,0,0,8
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,4,1,2,1,3,2,2,3,3,4,2,3,0,0,0,1,0,0,1,1,8
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,3,1,0,4,3,2,4,1,0,1,4,1,2,1,0,3,1,0,1,8
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,1,2,3,5,1,2,1,2,2,1,3,2,1,2,1,1,0,8
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,3,2,3,1,2,1,0,1,2,0,1,0,0,0,0,8
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,0,1,1,1,3,0,2,2,3,1,2,0,1,0,0,8
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,0,3,0,2,0,3,3,1,0,0,1,1,0,8
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,2,1,1,1,3,0,1,0,0,0,1,0,8
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,1,1,2,1,3,3,0,0,1,0,0,1,8
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,2,2,3,2,1,1,0,0,2,1,0,0,8
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,3,2,1,2,2,0,1,1,0,0,8
