col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Anthony Clark,Tracey L Gordon,Omar Sabir,Will Mega,Lisa M Deeley,Carol A Jenkins,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,All
Tracey L Gordon,,1,6,1,4,1,13,13,8,7,6,3,2,2,17
Carol A Jenkins,,,2,1,0,0,7,11,3,7,4,4,0,0,17
Omar Sabir,,,,2,3,0,8,9,4,1,4,4,3,4,17
Will Mega,,,,,0,4,8,7,6,2,4,2,2,2,17
Lisa M Deeley,,,,,,0,4,5,3,3,1,0,3,1,17
Sharon Williams Losier,,,,,,,2,17,15,5,6,7,1,2,17
Christine Hope,,,,,,,,0,8,8,8,4,3,1,17
Joffie C Pittman,,,,,,,,,1,3,2,4,1,1,17
Gary S Silver,,,,,,,,,,1,4,0,2,0,17
Franklin A Bennett Iii,,,,,,,,,,,0,2,1,1,17
Matthew Perks,,,,,,,,,,,,0,1,3,17
Christian Dicicco,,,,,,,,,,,,,0,2,17
Daniel R Sulman,,,,,,,,,,,,,,0,17
Total,43,24,19,19,15,10,39,36,26,16,13,12,7,6,17
,Judge Of The Municipal Court - Democrat,,,,,,,,City Commissioners - Democrat,,,,,,18
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Anthony Clark,Tracey L Gordon,Omar Sabir,Will Mega,Lisa M Deeley,Carol A Jenkins,18
Sharon Williams Losier,4,22,24,6,8,6,2,0,34,14,10,7,7,5,18
Christine Hope,,0,14,6,3,3,3,2,19,12,8,4,6,4,18
Joffie C Pittman,,,0,2,6,1,2,1,19,8,4,4,7,4,18
Christian Dicicco,,,,4,0,0,1,0,3,4,4,3,1,2,18
Matthew Perks,,,,,1,2,1,1,9,4,2,3,1,2,18
Gary S Silver,,,,,,0,0,0,3,3,4,1,0,1,18
Franklin A Bennett Iii,,,,,,,1,0,4,3,0,0,1,1,18
Daniel R Sulman,,,,,,,,0,1,1,1,0,0,0,18
Anthony Clark,,,,,,,,,8,13,2,3,5,4,18
Tracey L Gordon,,,,,,,,,,1,3,1,0,3,18
Omar Sabir,,,,,,,,,,,0,3,1,0,18
Will Mega,,,,,,,,,,,,3,0,0,18
Lisa M Deeley,,,,,,,,,,,,,0,0,18
Carol A Jenkins,,,,,,,,,,,,,,0,18
Total,54,32,29,14,13,7,6,2,51,23,13,11,10,9,18
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,19
,Anthony Clark,Will Mega,Carol A Jenkins,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Daniel R Sulman,Franklin A Bennett Iii,19
Anthony Clark,8,13,5,6,1,5,32,29,16,12,6,4,2,2,19
Will Mega,,0,3,2,4,1,14,15,6,8,5,0,1,2,19
