col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
Allan Domb,,,,4,8,4,9,9,6,9,11,10,5,2,1,2,17,10,7,10,13,4,4
William K Greenlee,,,,,0,23,2,6,2,8,3,3,3,1,2,1,6,28,25,3,0,3,4
Ed Neilson,,,,,,0,1,2,3,4,2,3,2,0,0,0,5,25,22,2,1,0,4
Jenne Ayers,,,,,,,3,4,3,6,8,4,7,1,0,1,19,4,3,8,6,2,4
W Wilson Goode Jr,,,,,,,,1,7,9,3,4,4,2,1,1,17,13,2,4,4,3,4
Helen Gym,,,,,,,,,1,7,2,2,1,3,1,0,9,9,4,6,1,2,4
Sherrie Cohen,,,,,,,,,,0,4,4,0,2,1,2,14,12,2,6,4,4,4
Thomas Wyatt,,,,,,,,,,,0,8,4,1,2,0,13,3,5,10,9,3,4
Carla M Cain,,,,,,,,,,,,0,3,2,0,0,7,6,4,10,7,0,4
Wilson Alexander,,,,,,,,,,,,,0,0,0,0,12,3,4,2,2,3,4
Frank Rizzo,,,,,,,,,,,,,,0,1,0,5,1,1,0,1,2,4
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,1,1,0,1,1,0,3,4
Paul Steinke,,,,,,,,,,,,,,,,0,2,1,0,2,0,1,4
Anthony Clark,,,,,,,,,,,,,,,,,4,13,2,6,5,5,4
Omar Sabir,,,,,,,,,,,,,,,,,,4,26,3,1,3,4
Lisa M Deeley,,,,,,,,,,,,,,,,,,,0,2,2,1,4
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,0,8,1,4
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,,0,0,4
Will Mega,,,,,,,,,,,,,,,,,,,,,,0,4
Total,87,62,56,43,38,30,30,29,24,24,23,19,17,7,4,3,72,56,35,22,19,12,4
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,5
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Carla M Cain,Wilson Alexander,Helen Gym,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Lisa M Deeley,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Will Mega,5
Derek S Green,3,62,51,50,40,22,22,16,13,14,10,9,5,8,5,3,56,49,36,7,9,12,5
Isaiah Thomas,,10,54,47,42,26,16,5,12,6,8,4,5,2,5,3,53,48,25,7,6,5,5
Blondell Reynolds Brown,,,1,42,32,26,16,10,12,2,3,3,8,5,7,3,48,41,23,8,12,4,5
William K Greenlee,,,,0,38,16,13,5,5,4,0,0,1,3,2,1,47,46,10,1,5,5,5
Ed Neilson,,,,,0,2,5,3,4,3,2,0,1,1,2,1,37,39,7,2,1,2,5
W Wilson Goode Jr,,,,,,2,13,3,11,5,3,3,6,2,5,1,25,14,20,7,4,2,5
Allan Domb,,,,,,,3,8,4,7,1,5,3,3,5,2,12,7,19,6,6,5,5
Jenne Ayers,,,,,,,,3,4,4,5,6,4,3,2,3,5,5,14,5,5,7,5
Sherrie Cohen,,,,,,,,,1,2,7,4,7,3,3,2,9,9,11,6,5,1,5
Thomas Wyatt,,,,,,,,,,0,3,6,1,3,2,0,6,5,13,2,1,4,5
Carla M Cain,,,,,,,,,,,0,6,3,4,1,3,3,2,8,7,6,4,5
Wilson Alexander,,,,,,,,,,,,0,1,2,0,2,4,2,14,5,0,3,5
Helen Gym,,,,,,,,,,,,,0,3,2,2,4,5,5,4,3,1,5
Paul Steinke,,,,,,,,,,,,,,0,0,2,5,2,6,1,4,2,5
Frank Rizzo,,,,,,,,,,,,,,,0,0,3,2,5,2,0,3,5
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,4,0,3,3,2,1,5
Omar Sabir,,,,,,,,,,,,,,,,,0,44,15,3,2,3,5
Lisa M Deeley,,,,,,,,,,,,,,,,,,0,4,1,2,2,5
Anthony Clark,,,,,,,,,,,,,,,,,,,2,8,7,5,5
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,1,2,0,5
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,1,1,5
Will Mega,,,,,,,,,,,,,,,,,,,,,,0,5
Total,106,99,80,63,51,43,38,29,26,20,17,17,14,12,11,7,75,65,61,18,17,15,5
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,6
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Jenne Ayers,Allan Domb,Sherrie Cohen,Helen Gym,Thomas Wyatt,Carla M Cain,Paul Steinke,Frank Rizzo,Wilson Alexander,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,6
Derek S Green,4,73,70,51,47,24,14,13,13,10,11,7,8,4,7,5,57,45,51,18,10,10,6
Isaiah Thomas,,19,63,44,39,25,14,12,17,9,9,6,7,3,1,2,54,27,46,11,14,5,6
Blondell Reynolds Brown,,,4,50,44,26,9,10,14,7,6,8,9,4,2,4,52,33,45,15,11,5,6
William K Greenlee,,,,0,39,7,4,4,2,3,2,2,4,1,1,2,43,16,38,3,4,2,6
Ed Neilson,,,,,0,9,2,4,5,4,3,1,1,3,0,0,40,13,37,4,5,0,6
W Wilson Goode Jr,,,,,,0,5,5,8,7,3,5,5,2,1,2,17,17,8,7,11,2,6
Jenne Ayers,,,,,,,2,6,9,5,4,7,2,1,6,2,7,15,7,6,6,7,6
Allan Domb,,,,,,,,1,10,6,7,8,2,4,3,2,5,9,4,13,6,2,6
Sherrie Cohen,,,,,,,,,0,8,5,7,2,4,1,2,8,11,8,11,8,4,6
Helen Gym,,,,,,,,,,1,4,2,3,4,1,2,8,7,4,4,5,3,6
Thomas Wyatt,,,,,,,,,,,0,5,7,3,3,3,5,9,2,11,4,3,6
Carla M Cain,,,,,,,,,,,,0,2,0,2,2,1,7,4,13,6,2,6
Paul Steinke,,,,,,,,,,,,,0,0,1,2,8,7,4,3,1,2,6
Frank Rizzo,,,,,,,,,,,,,,0,1,1,1,5,1,4,4,0,6
Wilson Alexander,,,,,,,,,,,,,,,0,1,1,7,0,2,1,5,6
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,3,5,2,4,2,0,6
Omar Sabir,,,,,,,,,,,,,,,,,2,8,47,2,2,5,6
Anthony Clark,,,,,,,,,,,,,,,,,,1,6,12,9,6,6
Lisa M Deeley,,,,,,,,,,,,,,,,,,,0,2,1,1,6
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,0,8,1,6
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,0,0,6
Will Mega,,,,,,,,,,,,,,,,,,,,,,0,6
Total,122,119,99,59,56,41,32,30,29,23,23,20,15,11,11,8,78,68,61,32,24,14,6
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,7
