col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
Jenne Ayers,,,,,,,,,,,,,1,1,6,2,3,0,9
Frank Rizzo,,,,,,,,,,,,,,0,0,1,2,0,9
Wilson Alexander,,,,,,,,,,,,,,,0,2,3,0,9
Paul Steinke,,,,,,,,,,,,,,,,0,2,1,9
Carla M Cain,,,,,,,,,,,,,,,,,0,0,9
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,9
Total,204,21,165,159,149,93,86,75,66,48,44,38,28,25,22,21,16,4,9
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,10
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Ed Neilson,Allan Domb,Helen Gym,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,10
Alice Beck Dubow,11,0,95,88,81,58,43,39,32,21,25,21,14,16,12,11,11,7,10
Robert Colville,,1,3,7,8,5,5,5,1,2,2,0,0,0,1,1,0,0,10
Derek S Green,,,2,68,70,56,24,39,19,17,12,8,10,10,8,5,4,4,10
Blondell Reynolds Brown,,,,2,65,55,33,35,21,14,12,13,5,5,7,4,4,5,10
Isaiah Thomas,,,,,3,53,33,41,15,17,9,12,7,7,5,12,3,1,10
William K Greenlee,,,,,,1,22,38,9,3,5,8,0,0,1,2,1,1,10
W Wilson Goode Jr,,,,,,,0,8,11,11,9,9,3,2,3,6,4,1,10
Ed Neilson,,,,,,,,0,1,0,2,2,1,3,0,3,1,2,10
Allan Domb,,,,,,,,,2,9,9,9,6,5,8,4,3,3,10
Helen Gym,,,,,,,,,,1,9,6,1,2,5,2,5,2,10
Jenne Ayers,,,,,,,,,,,0,9,5,5,3,1,2,3,10
Sherrie Cohen,,,,,,,,,,,,0,5,2,2,4,1,2,10
Thomas Wyatt,,,,,,,,,,,,,2,3,4,4,2,2,10
Wilson Alexander,,,,,,,,,,,,,,0,2,2,1,1,10
Carla M Cain,,,,,,,,,,,,,,,0,2,1,3,10
Paul Steinke,,,,,,,,,,,,,,,,0,0,1,10
Frank Rizzo,,,,,,,,,,,,,,,,,0,1,10
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,10
Total,162,11,112,105,103,72,55,50,48,30,30,27,19,18,16,14,12,10,10
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,11
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Allan Domb,Ed Neilson,Sherrie Cohen,Jenne Ayers,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,11
Alice Beck Dubow,7,0,78,81,63,54,41,29,31,31,22,19,19,15,12,7,4,2,11
Robert Colville,,0,6,2,0,1,2,4,0,1,5,2,0,2,3,0,0,1,11
Derek S Green,,,6,59,56,43,27,18,30,15,15,17,10,12,7,3,4,2,11
Blondell Reynolds Brown,,,,0,51,49,41,20,29,18,10,7,18,7,4,5,1,1,11
Isaiah Thomas,,,,,0,39,25,11,31,12,4,11,10,4,4,3,4,0,11
William K Greenlee,,,,,,0,21,8,27,15,2,5,10,3,2,2,2,1,11
W Wilson Goode Jr,,,,,,,1,16,4,17,5,4,11,5,4,4,1,0,11
Allan Domb,,,,,,,,1,2,7,10,8,2,7,7,5,0,0,11
Ed Neilson,,,,,,,,,0,1,0,3,5,2,0,1,0,0,11
Sherrie Cohen,,,,,,,,,,0,8,4,9,4,6,4,2,2,11
Jenne Ayers,,,,,,,,,,,1,9,2,12,11,0,1,2,11
Thomas Wyatt,,,,,,,,,,,,1,1,8,6,2,6,2,11
Helen Gym,,,,,,,,,,,,,1,0,2,1,1,0,11
Wilson Alexander,,,,,,,,,,,,,,0,5,1,0,0,11
Carla M Cain,,,,,,,,,,,,,,,0,0,0,1,11
Frank Rizzo,,,,,,,,,,,,,,,,0,0,0,11
Paul Steinke,,,,,,,,,,,,,,,,,0,1,11
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,11
Total,132,10,106,94,77,61,53,40,36,34,31,28,23,21,17,8,7,3,11
