col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Cathy Brady,Ryan N Boyer,Ted Kirsch,All
Thaddeus Kirkland,,,,,,,,,,0,32,31,28,27,23,25,25,23,21,8
Anne Wakabayashi,,,,,,,,,,,0,27,29,27,26,30,27,26,20,8
Blake Rutherford,,,,,,,,,,,,0,27,24,24,26,27,22,21,8
Leanne Krueger Braneky,,,,,,,,,,,,,0,26,23,24,23,24,20,8
Maria Quinones Sanchez,,,,,,,,,,,,,,0,24,20,21,20,21,8
Angel Cruz,,,,,,,,,,,,,,,0,24,26,22,23,8
Jennifer Lentz,,,,,,,,,,,,,,,,0,26,23,18,8
Ryan N Boyer,,,,,,,,,,,,,,,,,0,24,22,8
Cathy Brady,,,,,,,,,,,,,,,,,,0,22,8
Ted Kirsch,,,,,,,,,,,,,,,,,,,0,8
Total,114,70,1,88,82,74,64,63,61,48,38,38,35,32,31,31,31,30,26,8
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,9
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Thaddeus Kirkland,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Leanne Krueger Braneky,Maria Quinones Sanchez,Anne Wakabayashi,Cathy Brady,Jennifer Lentz,Angel Cruz,Ted Kirsch,Ryan N Boyer,9
Bernie Sanders,13,0,0,78,74,9,71,69,68,67,11,15,12,12,12,13,14,9,9,9
Hillary Clinton,,22,0,6,6,69,7,6,8,3,55,49,50,47,47,45,44,46,43,9
Roque Rocky De La Fuente,,,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,9
H Douglass Brown,,,,0,72,10,71,67,67,66,9,16,12,14,13,13,13,9,9,9
Peter Cutty,,,,,0,12,71,71,70,69,9,18,15,14,11,13,13,9,8,9
Thaddeus Kirkland,,,,,,0,11,12,11,7,57,55,54,51,48,49,47,48,48,9
Amanda Mcillmurray,,,,,,,0,70,71,66,11,15,14,11,14,15,15,11,10,9
Kat Richter,,,,,,,,0,70,66,8,16,16,11,11,13,14,11,7,9
Katherine Hunter Snyder,,,,,,,,,0,66,9,15,14,13,12,15,14,11,7,9
Jacob Adeniran,,,,,,,,,,0,3,14,10,11,10,10,11,9,6,9
Blake Rutherford,,,,,,,,,,,1,50,51,48,49,49,47,48,46,9
Leanne Krueger Braneky,,,,,,,,,,,,0,54,55,53,52,50,51,48,9
Maria Quinones Sanchez,,,,,,,,,,,,,1,49,50,49,52,49,46,9
Anne Wakabayashi,,,,,,,,,,,,,,0,48,50,49,46,46,9
Cathy Brady,,,,,,,,,,,,,,,0,50,51,50,46,9
Jennifer Lentz,,,,,,,,,,,,,,,,0,48,48,47,9
Angel Cruz,,,,,,,,,,,,,,,,,0,47,45,9
Ted Kirsch,,,,,,,,,,,,,,,,,,0,45,9
Ryan N Boyer,,,,,,,,,,,,,,,,,,,0,9
Total,103,99,1,84,81,80,78,76,76,71,68,66,64,61,60,60,59,57,54,9
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,10
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,Thaddeus Kirkland,Anne Wakabayashi,Maria Quinones Sanchez,Blake Rutherford,Leanne Krueger Braneky,Angel Cruz,Jennifer Lentz,Cathy Brady,Ryan N Boyer,Ted Kirsch,10
Bernie Sanders,22,0,0,112,108,101,99,99,94,17,18,15,15,17,19,12,8,10,11,10
Hillary Clinton,,11,0,6,7,6,5,2,4,65,53,56,55,53,50,52,55,50,49,10
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
H Douglass Brown,,,,0,106,99,95,95,91,16,19,15,12,17,16,14,8,9,10,10
Peter Cutty,,,,,0,102,98,97,94,17,21,16,15,18,17,15,8,10,10,10
Amanda Mcillmurray,,,,,,0,99,98,91,15,21,16,14,18,18,14,7,11,10,10
Katherine Hunter Snyder,,,,,,,0,99,93,16,21,19,13,15,21,14,8,11,12,10
Kat Richter,,,,,,,,0,92,14,18,16,10,15,18,12,6,8,10,10
Jacob Adeniran,,,,,,,,,0,15,17,16,10,14,18,12,5,8,9,10
Thaddeus Kirkland,,,,,,,,,,0,57,56,60,58,55,56,53,53,49,10
Anne Wakabayashi,,,,,,,,,,,0,57,58,58,57,55,53,52,50,10
Maria Quinones Sanchez,,,,,,,,,,,,0,52,52,57,52,54,51,52,10
Blake Rutherford,,,,,,,,,,,,,0,58,51,52,51,53,51,10
Leanne Krueger Braneky,,,,,,,,,,,,,,0,56,54,55,54,50,10
Angel Cruz,,,,,,,,,,,,,,,0,50,52,51,51,10
Jennifer Lentz,,,,,,,,,,,,,,,,1,51,48,47,10
Cathy Brady,,,,,,,,,,,,,,,,,0,52,52,10
Ryan N Boyer,,,,,,,,,,,,,,,,,,0,50,10
Ted Kirsch,,,,,,,,,,,,,,,,,,,0,10
Total,149,84,0,118,115,108,105,102,98,82,72,72,70,70,69,66,63,60,60,10
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,11
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,H Douglass Brown,Thaddeus Kirkland,Peter Cutty,Blake Rutherford,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Anne Wakabayashi,Jennifer Lentz,Jacob Adeniran,Cathy Brady,Maria Quinones Sanchez,Ryan N Boyer,Angel Cruz,Leanne Krueger Braneky,Ted Kirsch,11
Hillary Clinton,26,0,0,13,142,15,134,9,13,5,122,117,5,112,106,111,111,108,101,11
Bernie Sanders,,9,0,151,11,136,6,129,127,126,10,12,117,9,15,9,9,9,8,11
Roque Rocky De La Fuente,,,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,11
H Douglass Brown,,,,0,20,141,16,132,130,126,19,17,121,15,20,17,13,16,12,11
Thaddeus Kirkland,,,,,0,19,135,14,17,10,120,116,8,114,107,116,110,110,100,11
Peter Cutty,,,,,,0,19,129,127,125,17,18,119,14,19,18,13,14,11,11
Blake Rutherford,,,,,,,0,14,15,8,116,113,7,108,105,112,106,105,101,11
