col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
Kevin Bundy,,,,,,1,2,3,2,4,2,1,2,3,8,11
Monica Maria Djerassi,,,,,,,0,6,4,4,2,3,1,1,9,11
Linda Norris,,,,,,,,0,5,4,3,2,0,0,10,11
Lisa Rhodes,,,,,,,,,0,2,3,2,2,1,11,11
Rebecca Poyourow,,,,,,,,,,0,4,2,1,2,12,11
John Brady,,,,,,,,,,,0,2,2,2,13,11
Jacque Whaumbush,,,,,,,,,,,,0,2,1,14,11
Joe Khan,,,,,,,,,,,,,0,3,15,11
Nat Lownes,,,,,,,,,,,,,,0,16,11
Total,39,20,19,17,15,15,9,8,7,6,5,4,4,4,17,11
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,12
,Tom Wolf,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Joe Khan,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,2,12
Tom Wolf,4,29,26,22,21,17,13,12,11,10,7,8,5,6,3,12
Ken Washington,,0,14,20,18,13,10,8,8,7,6,5,4,5,4,12
Kathryn S Huggins,,,1,16,16,11,8,9,8,7,4,5,4,3,5,12
Dewayne Drummond,,,,0,18,14,11,9,9,6,6,5,2,6,6,12
Liam G Boyle,,,,,0,12,7,7,6,6,6,5,3,4,7,12
Kevin Bundy,,,,,,0,8,4,3,0,5,6,2,4,8,12
Joe Khan,,,,,,,0,4,5,4,6,4,5,3,9,12
Lisa Rhodes,,,,,,,,0,10,8,3,3,3,3,10,12
Linda Norris,,,,,,,,,0,8,1,1,2,2,11,12
Monica Maria Djerassi,,,,,,,,,,0,1,1,3,1,12,12
John Brady,,,,,,,,,,,0,4,3,3,13,12
Rebecca Poyourow,,,,,,,,,,,,0,2,2,14,12
Jacque Whaumbush,,,,,,,,,,,,,0,0,15,12
Nat Lownes,,,,,,,,,,,,,,0,16,12
Total,48,30,28,23,22,17,14,12,11,10,8,8,6,6,17,12
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,13
,Tom Wolf,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Nat Lownes,Joe Khan,John Brady,Rebecca Poyourow,Jacque Whaumbush,2,13
Tom Wolf,6,52,44,39,38,29,26,21,15,6,5,5,3,2,3,13
Kathryn S Huggins,,0,36,34,32,25,23,18,13,4,3,4,3,1,4,13
Ken Washington,,,2,36,33,27,24,20,12,5,4,5,3,1,5,13
Liam G Boyle,,,,0,32,23,21,19,10,4,4,3,0,2,6,13
Dewayne Drummond,,,,,0,27,23,18,9,5,1,3,1,0,7,13
Linda Norris,,,,,,0,25,19,7,5,2,3,3,0,8,13
Lisa Rhodes,,,,,,,0,17,5,4,2,2,2,1,9,13
Monica Maria Djerassi,,,,,,,,0,2,1,0,1,1,0,10,13
Kevin Bundy,,,,,,,,,0,4,4,2,2,1,11,13
Nat Lownes,,,,,,,,,,0,2,2,0,0,12,13
Joe Khan,,,,,,,,,,,0,1,1,2,13,13
John Brady,,,,,,,,,,,,0,1,0,14,13
Rebecca Poyourow,,,,,,,,,,,,,0,0,15,13
Jacque Whaumbush,,,,,,,,,,,,,,0,16,13
Total,71,53,47,40,38,29,26,21,16,6,5,5,3,2,17,13
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,14
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,John Brady,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,2,14
Tom Wolf,6,33,28,25,25,17,7,7,6,4,3,3,2,1,3,14
Kathryn S Huggins,,1,26,25,25,15,7,7,6,3,3,3,2,1,4,14
