col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,order,division
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,15
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,15
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,15
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,15
Total,11,8,7,6,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,16
,Lindy Li,Theresa M Wright,Molly Sheehan,Ashley Lunkenheimer,Rich Lazer,Mary Gay Scanlon,Thaddeus Kirkland,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,16
Lindy Li,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
Theresa M Wright,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
Molly Sheehan,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16
Ashley Lunkenheimer,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
Rich Lazer,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
Mary Gay Scanlon,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
Thaddeus Kirkland,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16
Greg Vitali,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,16
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,16
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,16
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,16
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,16
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,16
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,16
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,16
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,16
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,16
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,16
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,16
Total,9,9,8,7,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,17
,Molly Sheehan,Rich Lazer,Mary Gay Scanlon,Greg Vitali,Lindy Li,Theresa M Wright,Ashley Lunkenheimer,Margo Davidson,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,17
Molly Sheehan,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
Rich Lazer,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
Mary Gay Scanlon,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
Greg Vitali,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17
Lindy Li,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17
Theresa M Wright,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
Ashley Lunkenheimer,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
Margo Davidson,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,17
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,17
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,17
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,17
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,17
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,17
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,17
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,17
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,17
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,17
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,17
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,17
Total,10,10,6,5,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,18
,Ashley Lunkenheimer,Rich Lazer,Lindy Li,Greg Vitali,Theresa M Wright,Mary Gay Scanlon,Molly Sheehan,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,18
Ashley Lunkenheimer,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18
Rich Lazer,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18
Lindy Li,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18
Greg Vitali,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
Theresa M Wright,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18
Mary Gay Scanlon,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18
Molly Sheehan,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18
Thaddeus Kirkland,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,18
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,18
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,18
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,18
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,18
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,18
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,18
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,18
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,18
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,18
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,18
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,18
Total,12,9,5,4,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,19
,Rich Lazer,Molly Sheehan,Lindy Li,Theresa M Wright,Thaddeus Kirkland,Mary Gay Scanlon,Ashley Lunkenheimer,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,19
Rich Lazer,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
Molly Sheehan,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
Lindy Li,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
Theresa M Wright,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19
Thaddeus Kirkland,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19
Mary Gay Scanlon,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19
Ashley Lunkenheimer,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19
Greg Vitali,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,19
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,19
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,19
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,19
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,19
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,19
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,19
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,19
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,19
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,19
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,19
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,19
Total,8,7,6,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,20
,Lindy Li,Molly Sheehan,Rich Lazer,Theresa M Wright,Greg Vitali,Ashley Lunkenheimer,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Mary Gay Scanlon,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,20
Lindy Li,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
Molly Sheehan,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20
Rich Lazer,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
Theresa M Wright,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
Greg Vitali,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
Ashley Lunkenheimer,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20
Dan Muroff,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20
David Wertime,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20
Margo Davidson,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20
Mary Gay Scanlon,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,20
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,20
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,20
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,20
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,20
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,20
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,20
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,20
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,20
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,20
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,20
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,20
Total,9,6,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,21
,Rich Lazer,Lindy Li,Molly Sheehan,Theresa M Wright,Ashley Lunkenheimer,Mary Gay Scanlon,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,21
Rich Lazer,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
Lindy Li,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
Molly Sheehan,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21
Theresa M Wright,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21
Ashley Lunkenheimer,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21
Mary Gay Scanlon,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21
Dan Muroff,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21
David Wertime,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21
Greg Vitali,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21
Larry Arata,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,21
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,21
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,21
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,21
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,21
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,21
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,21
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,21
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,21
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,21
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,21
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,21
Total,20,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,22
,Lindy Li,Rich Lazer,Theresa M Wright,Greg Vitali,Molly Sheehan,Thaddeus Kirkland,Mary Gay Scanlon,Ashley Lunkenheimer,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,22
Lindy Li,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
Rich Lazer,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22
Theresa M Wright,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22
Greg Vitali,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22
Molly Sheehan,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22
Thaddeus Kirkland,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22
Mary Gay Scanlon,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22
Ashley Lunkenheimer,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,22
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,22
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,22
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,22
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,22
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,22
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,22
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,22
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,22
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,22
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,22
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,22
Total,14,12,9,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,23
,Lindy Li,Rich Lazer,Theresa M Wright,Molly Sheehan,Thaddeus Kirkland,Greg Vitali,Mary Gay Scanlon,Ashley Lunkenheimer,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,23
Lindy Li,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
Rich Lazer,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23
Theresa M Wright,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23
Molly Sheehan,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23
Thaddeus Kirkland,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23
Greg Vitali,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23
Mary Gay Scanlon,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23
Ashley Lunkenheimer,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,23
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,23
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,23
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,23
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,23
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,23
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,23
