col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,11
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,11
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,11
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,11
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,11
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,11
Total,43,40,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,12
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,12
Torri Douglas,16,40,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
Kyle J Sampson,,6,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Marisa Piccarreto,,,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Kyle Shenandoah,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,12
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,12
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,12
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,12
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,12
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,12
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,12
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,12
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,12
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,12
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,12
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,12
Total,59,48,47,43,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,13
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,13
Torri Douglas,8,16,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
Kyle Shenandoah,,9,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
Marisa Piccarreto,,,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
Kyle J Sampson,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,13
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,13
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,13
Larry Arata,,,,,,,,,0,0,0,0,0,0,0,0,0,11,13
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,12,13
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,13,13
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,13
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,13
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,13
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,13
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,13
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,13
Total,28,26,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,14
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Ashley Lunkenheimer,Dan Muroff,David Wertime,Greg Vitali,Larry Arata,Lindy Li,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Rich Lazer,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,2,14
Torri Douglas,14,40,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
Marisa Piccarreto,,10,39,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
Kyle J Sampson,,,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
Kyle Shenandoah,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
Ashley Lunkenheimer,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
Dan Muroff,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,14
David Wertime,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,14
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,14
