col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Linwood Holland,,,,,0,2,2,1,7,33
Paul Mango,,,,,,0,0,0,8,33
Scott R Wagner,,,,,,,0,0,9,33
Laura Ellsworth,,,,,,,,0,10,33
Total,9,7,6,6,5,6,6,1,11,33
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,34
,Paul Mango,Scott R Wagner,Laura Ellsworth,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,34
Paul Mango,4,0,0,3,4,2,2,3,3,34
Scott R Wagner,,0,0,4,3,2,2,2,4,34
Laura Ellsworth,,,1,0,0,1,1,0,5,34
Camille G Mccolgan,,,,0,5,0,1,5,6,34
Linwood Holland,,,,,0,0,1,5,7,34
Dan Tinney,,,,,,0,2,0,8,34
Joseph Giedemann,,,,,,,0,1,9,34
Margaret L Recupido,,,,,,,,0,10,34
Total,11,8,2,7,7,5,5,5,11,34
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,35
,Paul Mango,Scott R Wagner,Laura Ellsworth,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,35
Paul Mango,9,0,0,7,8,6,7,8,3,35
Scott R Wagner,,4,0,12,9,8,2,1,4,35
Laura Ellsworth,,,1,5,4,5,4,2,5,35
Linwood Holland,,,,0,16,14,5,3,6,35
Camille G Mccolgan,,,,,0,16,8,6,7,35
Margaret L Recupido,,,,,,0,5,3,8,35
Dan Tinney,,,,,,,0,9,9,35
Joseph Giedemann,,,,,,,,1,10,35
Total,25,19,9,24,21,19,15,14,11,35
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,36
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Laura Ellsworth,Paul Mango,Scott R Wagner,2,36
Margaret L Recupido,0,3,3,2,1,2,1,1,3,36
Camille G Mccolgan,,0,2,2,1,2,1,0,4,36
Dan Tinney,,,0,2,0,1,1,1,5,36
Joseph Giedemann,,,,0,0,1,1,0,6,36
Linwood Holland,,,,,0,1,0,0,7,36
Laura Ellsworth,,,,,,1,0,0,8,36
Paul Mango,,,,,,,0,0,9,36
Scott R Wagner,,,,,,,,0,10,36
Total,4,3,3,2,1,3,1,1,11,36
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,37
,Scott R Wagner,Laura Ellsworth,Paul Mango,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,37
Scott R Wagner,0,0,0,8,6,6,5,6,3,37
Laura Ellsworth,,0,0,0,2,1,1,1,4,37
Paul Mango,,,1,1,0,1,1,0,5,37
Camille G Mccolgan,,,,0,5,6,4,4,6,37
Linwood Holland,,,,,0,5,3,4,7,37
Margaret L Recupido,,,,,,0,3,3,8,37
Dan Tinney,,,,,,,0,6,9,37
Joseph Giedemann,,,,,,,,0,10,37
Total,11,2,2,9,8,8,7,7,11,37
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,38
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,38
Linwood Holland,0,2,2,1,1,2,2,1,3,38
Margaret L Recupido,,0,2,1,0,1,2,2,4,38
Camille G Mccolgan,,,0,1,0,1,1,1,5,38
Dan Tinney,,,,0,0,0,2,0,6,38
Joseph Giedemann,,,,,0,0,1,1,7,38
Paul Mango,,,,,,1,0,0,8,38
Scott R Wagner,,,,,,,0,0,9,38
Laura Ellsworth,,,,,,,,0,10,38
Total,5,5,3,2,2,5,4,3,11,38
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,39
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,39
Margaret L Recupido,0,21,15,16,12,16,10,8,3,39
Camille G Mccolgan,,0,13,15,12,13,10,6,4,39
Dan Tinney,,,0,20,7,15,6,8,5,39
Joseph Giedemann,,,,0,6,17,6,6,6,39
Linwood Holland,,,,,0,7,7,5,7,39
