col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,David Torres,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,2,38
David Torres,0,5,4,3,2,2,3,38
Linwood Holland,,0,2,2,1,1,4,38
Margaret L Recupido,,,1,2,1,0,5,38
Camille G Mccolgan,,,,0,1,0,6,38
Dan Tinney,,,,,0,0,7,38
Joseph Giedemann,,,,,,0,8,38
Total,10,5,5,3,2,2,9,38
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,39
,David Torres,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,39
David Torres,2,34,27,24,24,19,3,39
Margaret L Recupido,,0,21,15,16,12,4,39
Camille G Mccolgan,,,2,13,15,12,5,39
Dan Tinney,,,,1,20,7,6,39
Joseph Giedemann,,,,,1,6,7,39
Linwood Holland,,,,,,0,8,39
Total,56,34,29,29,29,19,9,39
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,40
,David Torres,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,2,40
David Torres,0,5,4,4,3,2,3,40
Camille G Mccolgan,,0,3,4,2,1,4,40
Margaret L Recupido,,,1,3,1,0,5,40
Linwood Holland,,,,0,2,1,6,40
Dan Tinney,,,,,0,2,7,40
Joseph Giedemann,,,,,,0,8,40
Total,7,5,5,4,3,2,9,40
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,41
,David Torres,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,41
David Torres,4,34,27,28,26,22,3,41
Camille G Mccolgan,,1,20,20,25,17,4,41
Dan Tinney,,,2,33,16,5,5,41
Joseph Giedemann,,,,1,14,6,6,41
Margaret L Recupido,,,,,3,14,7,41
Linwood Holland,,,,,,0,8,41
Total,58,40,38,38,32,25,9,41
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,42
,David Torres,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Linwood Holland,2,42
David Torres,0,14,11,11,9,7,3,42
Margaret L Recupido,,0,8,8,8,7,4,42
Camille G Mccolgan,,,0,7,6,5,5,42
Joseph Giedemann,,,,0,8,6,6,42
Dan Tinney,,,,,0,5,7,42
Linwood Holland,,,,,,0,8,42
Total,19,15,12,12,9,9,9,42
,Member Of The - Republican State Committee 13th Congressional District,,,,,Representative In Congress 2nd District - Republican,1,43
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,David Torres,2,43
Margaret L Recupido,1,12,6,8,5,14,3,43
Camille G Mccolgan,,0,4,8,4,12,4,43
Joseph Giedemann,,,2,2,4,6,5,43
Linwood Holland,,,,0,2,7,6,43
Dan Tinney,,,,,0,5,7,43
David Torres,,,,,,0,8,43
Total,17,13,10,8,6,16,9,43
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1,44
,David Torres,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,44
David Torres,0,5,5,5,5,4,3,44
Dan Tinney,,1,2,3,3,1,4,44
Camille G Mccolgan,,,0,2,2,2,5,44
Joseph Giedemann,,,,0,1,0,6,44
Linwood Holland,,,,,0,2,7,44
Margaret L Recupido,,,,,,1,8,44
Total,12,6,5,5,5,5,9,44
