col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,9
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,9
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,9
Rhea Powell,,,,,,,,,,,,,,0,0,16,9
Tom Young,,,,,,,,,,,,,,,0,17,9
Total,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,10
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,10
Dwight Evans,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Kevin Johnson,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,10
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,10
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,10
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,10
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,10
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,10
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,10
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,10
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,10
Rhea Powell,,,,,,,,,,,,,,0,0,16,10
Tom Young,,,,,,,,,,,,,,,0,17,10
Total,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,11
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,11
Dwight Evans,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Kevin Johnson,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,11
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,11
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,11
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,11
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,11
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,11
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,11
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,11
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,11
Rhea Powell,,,,,,,,,,,,,,0,0,16,11
Tom Young,,,,,,,,,,,,,,,0,17,11
Total,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,12
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,12
Dwight Evans,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
Kevin Johnson,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,12
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,12
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,12
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,12
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,12
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,12
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,12
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,12
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,12
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,12
