col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,All
,Mary Murray,Emil Giordano,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,All
Craig Stedman,,,1,57,1,3,0,2,3,12,12,16
Wade A Kagarise,,,,0,5,2,0,1,1,12,12,16
Maria Mclaughlin,,,,,0,27,26,23,1,30,25,16
Debbie Kunselman,,,,,,1,27,26,0,28,28,16
Carolyn H Nichols,,,,,,,1,22,1,25,24,16
Geoff Moulton,,,,,,,,0,0,24,25,16
Jules Mermelstein,,,,,,,,,0,1,1,16
Marissa Brumbach,,,,,,,,,,0,32,16
Matt Wolf,,,,,,,,,,,0,16
Total,70,68,62,62,35,34,30,28,5,44,40,16
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,17
,Mary Murray,Emil Giordano,Craig Stedman,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Wade A Kagarise,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,17
Mary Murray,0,39,36,7,6,6,34,0,2,13,12,17
Emil Giordano,,0,36,4,1,3,35,1,1,11,12,17
Craig Stedman,,,0,1,3,2,35,2,1,10,9,17
Maria Mclaughlin,,,,0,32,32,0,29,1,31,29,17
Carolyn H Nichols,,,,,0,31,0,28,1,28,27,17
Debbie Kunselman,,,,,,0,0,28,0,29,29,17
Wade A Kagarise,,,,,,,0,0,0,7,7,17
Geoff Moulton,,,,,,,,0,0,26,26,17
Jules Mermelstein,,,,,,,,,0,1,1,17
Marissa Brumbach,,,,,,,,,,1,31,17
Matt Wolf,,,,,,,,,,,0,17
Total,44,41,39,37,36,35,35,31,2,42,41,17
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,18
,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Carolyn H Nichols,Jules Mermelstein,Marissa Brumbach,Matt Wolf,18
Emil Giordano,0,90,85,86,7,4,2,2,0,11,11,18
Mary Murray,,1,85,85,4,5,1,2,1,11,8,18
Craig Stedman,,,1,82,3,3,2,1,0,9,9,18
Wade A Kagarise,,,,0,3,1,2,0,0,10,9,18
Maria Mclaughlin,,,,,0,46,44,43,1,48,49,18
Debbie Kunselman,,,,,,0,44,42,1,43,42,18
Geoff Moulton,,,,,,,1,41,1,42,42,18
Carolyn H Nichols,,,,,,,,1,2,41,42,18
Jules Mermelstein,,,,,,,,,2,2,1,18
Marissa Brumbach,,,,,,,,,,1,51,18
Matt Wolf,,,,,,,,,,,0,18
Total,94,94,90,87,60,51,48,47,4,61,60,18
